lr-Adadelta,step,train_loss,train/struct_loss,epoch,val_loss,val/struct_loss,val_ExpRate
,66,0.023161649703979492,0.0001377686858177185,66,,,
1.0,67,,,,,,
,67,,,67,0.34693798422813416,3.0025839805603027e-06,0.875
,67,0.007227897644042969,0.00011450797319412231,67,,,
1.0,68,,,,,,
,68,0.007388889789581299,0.0001014024019241333,68,,,
1.0,69,,,,,,
,69,,,69,0.40407827496528625,2.823770046234131e-06,0.875
,69,0.00550687313079834,5.180388689041138e-05,69,,,
1.0,70,,,,,,
,70,0.005147576332092285,8.855760097503662e-05,70,,,
1.0,71,,,,,,
,71,,,71,0.4240645468235016,2.8014183044433594e-06,0.875
,71,0.0052754878997802734,7.335841655731201e-05,71,,,
1.0,72,,,,,,
,72,0.03162723779678345,7.161498069763184e-05,72,,,
1.0,73,,,,,,
,73,,,73,1.5378292798995972,1.0445713996887207e-05,0.25
,73,0.14558467268943787,0.0001262277364730835,73,,,
1.0,74,,,,,,
,74,0.5667062997817993,8.437782526016235e-05,74,,,
1.0,75,,,,,,
,75,,,75,3.4894957542419434,0.0005741119384765625,0.25
,75,0.03424835205078125,0.0005028247833251953,75,,,
1.0,76,,,,,,
,76,0.03039950132369995,0.0008634477853775024,76,,,
1.0,77,,,,,,
,77,,,77,3.022536277770996,0.0001262873411178589,0.375
,77,0.009047627449035645,0.0002677217125892639,77,,,
1.0,78,,,,,,
,78,0.008530735969543457,0.00028048455715179443,78,,,
1.0,79,,,,,,
,79,,,79,2.2540197372436523,4.6700239181518555e-05,0.5
,79,0.006437420845031738,0.00012598931789398193,79,,,
1.0,80,,,,,,
,80,0.006591498851776123,0.00013122707605361938,80,,,
1.0,81,,,,,,
,81,,,81,1.1193740367889404,1.8827617168426514e-05,0.625
,81,0.0068291425704956055,0.00010749697685241699,81,,,
1.0,82,,,,,,
,82,0.00684589147567749,8.574873208999634e-05,82,,,
1.0,83,,,,,,
,83,,,83,0.0029083937406539917,9.63360071182251e-06,1.0
,83,0.005190014839172363,9.468942880630493e-05,83,,,
1.0,84,,,,,,
,84,0.0054048895835876465,9.9964439868927e-05,84,,,
1.0,85,,,,,,
,85,,,85,0.0012482702732086182,5.5730342864990234e-06,1.0
,85,0.004721224308013916,4.4152140617370605e-05,85,,,
1.0,86,,,,,,
,86,0.00477561354637146,5.101412534713745e-05,86,,,
1.0,87,,,,,,
,87,,,87,0.0010184049606323242,3.2708048820495605e-06,1.0
,87,0.004628539085388184,7.128715515136719e-05,87,,,
1.0,88,,,,,,
,88,0.00411069393157959,5.189329385757446e-05,88,,,
1.0,89,,,,,,
,89,,,89,0.000904768705368042,2.339482307434082e-06,1.0
,89,0.004847049713134766,0.0001417994499206543,89,,,
1.0,90,,,,,,
,90,0.004669249057769775,6.0014426708221436e-05,90,,,
1.0,91,,,,,,
,91,,,91,0.0008507966995239258,1.9222497940063477e-06,1.0
,91,0.004362136125564575,4.9524009227752686e-05,91,,,
1.0,92,,,,,,
,92,0.003914088010787964,7.15106725692749e-05,92,,,
1.0,93,,,,,,
,93,,,93,0.0008562877774238586,1.6540288925170898e-06,1.0
,93,0.003157973289489746,5.856156349182129e-05,93,,,
1.0,94,,,,,,
,94,0.0033319294452667236,0.00011952221393585205,94,,,
1.0,95,,,,,,
,95,,,95,0.001085914671421051,1.4454126358032227e-06,1.0
,95,0.0029369890689849854,4.550069570541382e-05,95,,,
1.0,96,,,,,,
,96,0.003369450569152832,6.523728370666504e-05,96,,,
1.0,97,,,,,,
,97,,,97,0.0012197792530059814,1.4007091522216797e-06,1.0
,97,0.002851635217666626,3.342330455780029e-05,97,,,
1.0,98,,,,,,
,98,0.0030369162559509277,0.00011245906352996826,98,,,
1.0,99,,,,,,
,99,,,99,0.0018219351768493652,1.3560056686401367e-06,1.0
,99,0.002500593662261963,4.316866397857666e-05,99,,,
